"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"bezpaństwowcy";"2011";95;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"obywatelstwo nieustalone";"2011";129;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Armenia";"2011";197;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Białoruś";"2011";409;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Francja";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Indie";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Niemcy";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Rosja";"2011";222;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Ukraina";"2011";1290;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
0600000;"LUBELSKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"bezpaństwowcy";"2011";39;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"obywatelstwo nieustalone";"2011";286;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Armenia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Białoruś";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Francja";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Indie";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Niemcy";"2011";369;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Rosja";"2011";125;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Ukraina";"2011";417;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Wielka Brytania";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
0800000;"LUBUSKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"bezpaństwowcy";"2011";551;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"obywatelstwo nieustalone";"2011";562;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Armenia";"2011";164;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Austria";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Białoruś";"2011";118;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Francja";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Indie";"2011";174;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Litwa";"2011";104;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Niemcy";"2011";200;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Rosja";"2011";163;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Turcja";"2011";147;"osoba";"";
1000000;"ŁÓDZKIE";"ogółem";"Ukraina";"2011";401;"osoba";"";
